job_title,location,company,reviews,ratings,date,sponsoredby,summary,job_link
Sr Data Analyst,"Bengaluru, Karnataka",CodeHall,0,0.0,11 days ago,,"Apart from building dashboards and reports, data analyst are also responsible for forensic data analysis, troubleshooting data issues and ensuring data…",https://www.indeed.co.in/rc/clk?jk=11477e2af56df945&fccid=fe6dc80b3092bbd6&vjs=3
Data Analyst,"Bengaluru, Karnataka",Vedantu,0,0.0,4 days ago,,"Good analytical skills and ability to understand business requirement and related metrics, ability to create definitions, ability to slice and dice data.",https://www.indeed.co.in/rc/clk?jk=8e66aefae9a785d6&fccid=646a532807f08670&vjs=3
Data Analyst,"Bengaluru, Karnataka",Proziod Analytics,0,0.0,23 days ago,,"Proven working experience as a data analyst or business data analyst between 1 to 2 years.
We are looking for a passionate Data Analyst.",https://www.indeed.co.in/rc/clk?jk=1d0a8a21860fcc3b&fccid=65a1f3cfe35575c8&vjs=3
Analyst - Data Factory,"Bengaluru, Karnataka",Diageo,0,0.0,30+ days ago,,Bangalore based – standard flexible working environment.,https://www.indeed.co.in/rc/clk?jk=2ba6ceb01e148255&fccid=942d238ea16c5cd0&vjs=3
Data Analyst,"Bengaluru, Karnataka",Xcellent Solution,0,0.0,30+ days ago,,"Data Analytics / Senior Data Analytics ( Immediate Joiners).
Analyze digital data across web/mobile/social channels.
This opening is for immediate Joiners.",https://www.indeed.co.in/company/Xcellent-Solution/jobs/Data-Analyst-5199a6b20f967ccd?fccid=f940a0faeac9c229&vjs=3
Data Modeler/Data Analyst,"Bengaluru, Karnataka",Kastech Software India Pvt Ltd,0,0.0,5 days ago,,"Good data analysis skills around payment systems in the financial services space.
Understanding of SWIFT messages and it's various interpretations.",https://www.indeed.co.in/company/Kastech-Software-India-Pvt-Ltd/jobs/Data-Modeler-Data-Analyst-795bb74c576f071a?fccid=22300f7dac9c07e7&vjs=3
Data Analyst,"Bengaluru, Karnataka",Digital Workforce,0,0.0,29 days ago,,"Data Analyst / Senior Analyst / Lead Analyst.
Urgent hiring for Data Analyst.
We’re looking for Data Ninjas to join our Central Analytics team.",https://www.indeed.co.in/company/Digital-work-force/jobs/Data-Analyst-dcc79e7071e350ae?fccid=b962b622bd74f174&vjs=3
SR ANALYST -DATA ANALYTICS,"Bengaluru, Karnataka",JPMorgan Chase,0,0.0,5 days ago,,"Morgan is a leading global financial services firm, established over 200 years ago:
We are the leader in investment banking, financial services for consumers…",https://www.indeed.co.in/rc/clk?jk=576208edb2d779db&fccid=c46d0116f6e69eae&vjs=3
Business Analyst,"Bengaluru, Karnataka",Innovellent Technologies Pvt Ltd,0,0.0,1 day ago,,Requirement gathering and management • Presentation and analytical skills • Very good communication and documentation skills • Microsoft Office products •…,https://www.indeed.co.in/company/Innovellent-Technologies-Pvt-Ltd/jobs/Business-Analyst-9c9fc54ccad56551?fccid=e4d616f3f3b58092&vjs=3
Data Scientist,"Bengaluru, Karnataka",Micro Focus,0,0.0,,,"Identifies data sources, collects, transforms, and prepares large amounts of data for analysis.
Monitors and continuously improves the data sources, usability,…",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4bauJTLzCjE0X5oATM7HJjGh1xFOWpBmJH47jLXZ3omA0IIFZJ0wG4JiIAKpaxs1ZL356Uf1_hV6-qN3qj2rwZsUcn8B7kOJRUiyYUM-mNAwOGKzkE6UqJyn3A7adPig_xeVgWR2wDJ4QZELIcAXkdE4ziYfV2MBC0kqa4HeyBHcCONXgQH84m1UtPFOc7FZHEaW5PhPcrRJYtgM9AcaHvdMMoXbTGt3cutkEv7QpciivazzAH6nL_V2UycrKbgMeBow0DmV4VgWzEWKMfmM6S-f61aXjMlCUTyLyVgyY-PkYG2lffc6f5h7eR40RPE7WptKrf_GziAt0Q3CO7onpot0i_JsmiazKBH&p=13&fvj=0&vjs=3
